"","App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","countpos","countneut","counteg"
"1219","Sonic Dash","GAME",4.5,3778921,75,"100,000,000+","Free",0,"Everyone","Arcade","July 26, 2018","3.8.5.Go","4.1 and up",NA,NA,NA
"1220","Candy Crush Soda Saga","GAME",4.4,6198563,67,"100,000,000+","Free",0,"Everyone","Casual","July 10, 2018","1.118.4","4.1 and up",62,8,96
"1221","Zombie Hunter King","GAME",4.3,10306,50,"1,000,000+","Free",0,"Mature 17+","Action","August 1, 2018","1.0.8","2.3 and up",NA,NA,NA
"1222","Clash of Clans","GAME",4.6,44891723,98,"100,000,000+","Free",0,"Everyone 10+","Strategy","July 15, 2018","10.322.16","4.1 and up",23,0,10
"1223","Block Puzzle Classic Legend !","GAME",4.2,17039,4.9,"5,000,000+","Free",0,"Everyone","Puzzle","April 13, 2018","2.9","2.3.3 and up",46,4,22
"1224","PAC-MAN","GAME",4.2,685981,37,"100,000,000+","Free",0,"Everyone","Arcade","May 15, 2018","6.6.3","4.1 and up",NA,NA,NA
"1225","Super Jim Jump - pixel 3d","GAME",4.5,10393,18,"1,000,000+","Free",0,"Everyone","Arcade","July 11, 2018","2.2.3181","4.0 and up",NA,NA,NA
"1226","8 Ball Pool","GAME",4.5,14198297,52,"100,000,000+","Free",0,"Everyone","Sports","July 31, 2018","4.0.0","4.0.3 and up",104,9,106
"1227","Bubble Witch 3 Saga","GAME",4.7,1732263,78,"50,000,000+","Free",0,"Everyone","Puzzle","July 17, 2018","4.8.4","3.0 and up",19,1,11
"1228","Word Search","GAME",4.7,295241,3.9,"10,000,000+","Free",0,"Everyone","Word","June 6, 2018","1.1.3","3.0 and up",NA,NA,NA
"1229","Granny","GAME",4.5,1135631,59,"50,000,000+","Free",0,"Teen","Arcade","May 29, 2018","1.4.0.1","4.0 and up",19,0,10
"1230","Angry Birds Classic","GAME",4.4,5566669,97,"100,000,000+","Free",0,"Everyone","Arcade","May 24, 2018","7.9.3","4.1 and up",124,2,147
"1231","Flow Free","GAME",4.3,1295557,11,"100,000,000+","Free",0,"Everyone","Puzzle","April 11, 2018","4.0","4.1 and up",101,4,49
"1232","Race the Traffic Moto","GAME",3.8,270687,38,"10,000,000+","Free",0,"Teen","Racing","July 20, 2018","1.0.16","4.0.3 and up",NA,NA,NA
"1233","Barbie™ Fashion Closet","GAME",4.1,68057,85,"10,000,000+","Free",0,"Everyone","Casual;Creativity","July 30, 2018","1.3.7","4.1 and up",NA,NA,NA
"1234","Candy Crush Jelly Saga","GAME",4.3,1300490,78,"50,000,000+","Free",0,"Everyone","Puzzle","July 20, 2018","2.1.10","4.0 and up",21,8,44
"1235","Hill Climb Racing","GAME",4.4,8923587,63,"100,000,000+","Free",0,"Everyone","Racing","July 2, 2018","1.37.2","4.2 and up",31,0,13
"1236","Marble - Temple Quest","GAME",4.3,42053,24,"10,000,000+","Free",0,"Everyone","Puzzle","June 21, 2018","4.9","4.0.3 and up",NA,NA,NA
"1237","Shooting King","GAME",4.4,257724,69,"10,000,000+","Free",0,"Everyone 10+","Sports","May 25, 2018","1.4.2","4.0.3 and up",NA,NA,NA
"1238","Zombie Catchers","GAME",4.7,990491,75,"10,000,000+","Free",0,"Everyone","Action","May 24, 2018","1.0.27","4.1 and up",NA,NA,NA
"1239","Farm Heroes Saga","GAME",4.4,7614130,70,"100,000,000+","Free",0,"Everyone","Casual","July 26, 2018","5.1.8","2.3 and up",46,21,43
"1240","Geometry Dash World","GAME",4.6,760628,63,"10,000,000+","Free",0,"Everyone","Arcade","December 22, 2017","1.03","4.0 and up",NA,NA,NA
"1241","My Talking Angela","GAME",4.5,9881829,99,"100,000,000+","Free",0,"Everyone","Casual","July 3, 2018","3.7.2.51","4.1 and up",NA,NA,NA
"1242","Cut the Rope FULL FREE","GAME",4.4,2123381,49,"100,000,000+","Free",0,"Everyone","Puzzle","July 5, 2018","3.7.2","4.1 and up",14,0,14
"1243","Subway Surfers","GAME",4.5,27723193,76,"1,000,000,000+","Free",0,"Everyone 10+","Arcade","July 12, 2018","1.90.0","4.1 and up",NA,NA,NA
"1244","ROBLOX","GAME",4.5,4447346,67,"100,000,000+","Free",0,"Everyone 10+","Adventure;Action & Adventure","July 31, 2018","2.347.225742","4.1 and up",NA,NA,NA
"1245","Pou","GAME",4.3,10485334,24,"500,000,000+","Free",0,"Everyone","Casual","May 25, 2018","1.4.77","4.0 and up",NA,NA,NA
"1246","8 Ball Pool","GAME",4.5,14198602,52,"100,000,000+","Free",0,"Everyone","Sports","July 31, 2018","4.0.0","4.0.3 and up",104,9,106
"1247","Clash of Clans","GAME",4.6,44891723,98,"100,000,000+","Free",0,"Everyone 10+","Strategy","July 15, 2018","10.322.16","4.1 and up",23,0,10
"1248","Candy Crush Saga","GAME",4.4,22428456,74,"500,000,000+","Free",0,"Everyone","Casual","July 5, 2018","1.129.0.2","4.1 and up",102,12,126
"1249","Plants vs. Zombies FREE","GAME",4.4,4066980,69,"100,000,000+","Free",0,"Everyone 10+","Strategy","July 6, 2018","2.2.00","4.1 and up",NA,NA,NA
"1250","Cooking Fever","GAME",4.5,3197865,82,"100,000,000+","Free",0,"Everyone","Arcade","July 12, 2018","2.8.0","4.0.3 and up",55,1,79
"1251","Score! Hero","GAME",4.6,5418675,96,"100,000,000+","Free",0,"Everyone","Sports","June 13, 2018","1.751","4.4 and up",NA,NA,NA
"1252","My Talking Angela","GAME",4.5,9881908,99,"100,000,000+","Free",0,"Everyone","Casual","July 3, 2018","3.7.2.51","4.1 and up",NA,NA,NA
"1253","Bubble Shooter","GAME",4.5,148895,46,"10,000,000+","Free",0,"Everyone","Casual","July 17, 2018","1.20.1","4.0.3 and up",100,5,40
"1254","Miraculous Ladybug & Cat Noir - The Official Game","GAME",4.5,183846,99,"10,000,000+","Free",0,"Everyone","Action","July 30, 2018","1.0.6","4.4 and up",NA,NA,NA
"1255","Wordscapes","GAME",4.8,230710,87,"10,000,000+","Free",0,"Everyone","Word","August 2, 2018","1.0.47","4.1 and up",NA,NA,NA
"1256","Word Search","GAME",4.7,295305,3.9,"10,000,000+","Free",0,"Everyone","Word","June 6, 2018","1.1.3","3.0 and up",NA,NA,NA
"1257","Candy Crush Soda Saga","GAME",4.4,6198880,67,"100,000,000+","Free",0,"Everyone","Casual","July 10, 2018","1.118.4","4.1 and up",62,8,96
"1258","Garena Free Fire","GAME",4.5,5465624,53,"100,000,000+","Free",0,"Teen","Action","August 3, 2018","1.21.0","4.0.3 and up",136,5,81
"1259","Block Puzzle","GAME",4.6,59854,7.8,"5,000,000+","Free",0,"Everyone","Puzzle","March 6, 2018","2.9","2.3 and up",83,0,71
"1260","Clash Royale","GAME",4.6,23134775,97,"100,000,000+","Free",0,"Everyone 10+","Strategy","June 27, 2018","2.3.2","4.1 and up",107,0,58
"1261","Granny","GAME",4.5,1137271,59,"50,000,000+","Free",0,"Teen","Arcade","May 29, 2018","1.4.0.1","4.0 and up",19,0,10
"1262","Angry Birds Rio","GAME",4.4,2610622,46,"100,000,000+","Free",0,"Everyone","Arcade","July 3, 2018","2.6.9","4.1 and up",15,1,23
"1263","Zombie Catchers","GAME",4.7,990586,75,"10,000,000+","Free",0,"Everyone","Action","May 24, 2018","1.0.27","4.1 and up",NA,NA,NA
"1264","Zombie Hunter King","GAME",4.3,10354,50,"1,000,000+","Free",0,"Mature 17+","Action","August 1, 2018","1.0.8","2.3 and up",NA,NA,NA
"1265","Temple Run 2","GAME",4.3,8118937,62,"500,000,000+","Free",0,"Everyone","Action","July 5, 2018","1.49.1","4.0 and up",NA,NA,NA
"1266","Jungle Marble Blast","GAME",4.3,18985,23,"5,000,000+","Free",0,"Everyone","Casual","July 23, 2018","1.5.4","4.0.3 and up",NA,NA,NA
"1267","Rider","GAME",4.5,655067,72,"10,000,000+","Free",0,"Teen","Arcade","July 17, 2017","1.2.1","4.0.3 and up",NA,NA,NA
"1268","Farm Heroes Saga","GAME",4.4,7614271,70,"100,000,000+","Free",0,"Everyone","Casual","July 26, 2018","5.1.8","2.3 and up",46,21,43
"1269","Super Jim Jump - pixel 3d","GAME",4.5,10434,18,"1,000,000+","Free",0,"Everyone","Arcade","July 11, 2018","2.2.3181","4.0 and up",NA,NA,NA
"1270","Roll the Ball® - slide puzzle","GAME",4.5,1385093,35,"100,000,000+","Free",0,"Everyone","Puzzle","August 2, 2018","1.7.40","4.1 and up",NA,NA,NA
"1271","Talking Tom Gold Run","GAME",4.6,2698348,78,"100,000,000+","Free",0,"Everyone","Action","July 31, 2018","2.8.2.59","4.1 and up",NA,NA,NA
"1272","Pixel Art: Color by Number Game","GAME",4.7,1125017,25,"10,000,000+","Free",0,"Everyone","Puzzle","July 17, 2018","3.9.2","4.3 and up",NA,NA,NA
"1273","Dream League Soccer 2018","GAME",4.6,9882639,74,"100,000,000+","Free",0,"Everyone","Sports","July 16, 2018","5.064","4.4 and up",2,0,1
"1274","Angry Birds Classic","GAME",4.4,5566805,97,"100,000,000+","Free",0,"Everyone","Arcade","May 24, 2018","7.9.3","4.1 and up",124,2,147
"1275","Fruits Bomb","GAME",4.4,74673,17,"10,000,000+","Free",0,"Everyone","Casual","July 6, 2018","3.3.3179","4.0.3 and up",59,8,12
"1276","Traffic Racer","GAME",4.5,5387639,53,"100,000,000+","Free",0,"Everyone","Racing","February 27, 2018","2.5","4.1 and up",NA,NA,NA
"1277","Flow Free","GAME",4.3,1295606,11,"100,000,000+","Free",0,"Everyone","Puzzle","April 11, 2018","4.0","4.1 and up",101,4,49
"1278","Knife Hit","GAME",4.5,461137,60,"10,000,000+","Free",0,"Everyone","Arcade","May 22, 2018","1.7.2","4.0.3 and up",NA,NA,NA
"1279","Block Craft 3D: Building Simulator Games For Free","GAME",4.5,946926,57,"50,000,000+","Free",0,"Everyone","Simulation","March 5, 2018","2.10.2","4.0.3 and up",NA,NA,NA
"1280","Farm Fruit Pop: Party Time","GAME",4.4,9305,14,"1,000,000+","Free",0,"Everyone","Casual","August 2, 2018","1.9.2","4.0.3 and up",19,6,6
"1281","ROBLOX","GAME",4.5,4448791,67,"100,000,000+","Free",0,"Everyone 10+","Adventure;Action & Adventure","July 31, 2018","2.347.225742","4.1 and up",NA,NA,NA
"1282","Helix Jump","GAME",4.2,1498648,33,"100,000,000+","Free",0,"Everyone","Action","April 9, 2018","1.0.6","4.1 and up",209,6,58
"1283","Subway Surfers","GAME",4.5,27724094,76,"1,000,000,000+","Free",0,"Everyone 10+","Arcade","July 12, 2018","1.90.0","4.1 and up",NA,NA,NA
"1284","Candy Crush Saga","GAME",4.4,22428456,74,"500,000,000+","Free",0,"Everyone","Casual","July 5, 2018","1.129.0.2","4.1 and up",102,12,126
"1285","Love Balls","GAME",4.2,360630,40,"50,000,000+","Free",0,"Everyone","Puzzle","July 31, 2018","1.2.7","4.1 and up",NA,NA,NA
"1286","Granny","GAME",4.5,1137267,59,"50,000,000+","Free",0,"Teen","Arcade","May 29, 2018","1.4.0.1","4.0 and up",19,0,10
"1287","8 Ball Pool","GAME",4.5,14200344,52,"100,000,000+","Free",0,"Everyone","Sports","July 31, 2018","4.0.0","4.0.3 and up",104,9,106
"1288","Hungry Shark Evolution","GAME",4.5,6074334,100,"100,000,000+","Free",0,"Teen","Arcade","July 25, 2018","6.0.0","4.1 and up",NA,NA,NA
"1289","Temple Run 2","GAME",4.3,8118937,62,"500,000,000+","Free",0,"Everyone","Action","July 5, 2018","1.49.1","4.0 and up",NA,NA,NA
"1290","Pokémon GO","GAME",4.1,10424925,85,"100,000,000+","Free",0,"Everyone","Adventure","July 23, 2018","0.111.3","4.4 and up",NA,NA,NA
"1291","Wordscapes","GAME",4.8,230727,87,"10,000,000+","Free",0,"Everyone","Word","August 2, 2018","1.0.47","4.1 and up",NA,NA,NA
"1292","Paint Hit","GAME",4.4,37023,33,"10,000,000+","Free",0,"Everyone","Casual","July 6, 2018","5.200","5.0 and up",NA,NA,NA
"1293","Snake VS Block","GAME",4.2,422244,32,"50,000,000+","Free",0,"Teen","Arcade","April 23, 2018","1.24","4.1 and up",NA,NA,NA
"1294","Rolly Vortex","GAME",4.4,98123,40,"10,000,000+","Free",0,"Teen","Arcade","May 25, 2018","1.7.0","4.1 and up",NA,NA,NA
"1295","Woody Puzzle","GAME",4.7,21262,29,"1,000,000+","Free",0,"Everyone","Puzzle","August 3, 2018","1.0.9","4.4 and up",NA,NA,NA
"1296","Stack Jump","GAME",4.3,118253,40,"10,000,000+","Free",0,"Teen","Arcade","May 3, 2018","1.4.6","4.1 and up",NA,NA,NA
"1297","Color by Number – New Coloring Book","GAME",4.7,141529,24,"5,000,000+","Free",0,"Everyone 10+","Board","August 1, 2018","2.0.6","4.1 and up",NA,NA,NA
"1298","The Cube","GAME",4.2,70226,38,"5,000,000+","Free",0,"Everyone","Arcade","July 25, 2018","1.2.9","4.1 and up",NA,NA,NA
"1299","Extreme Car Driving Simulator","GAME",4.3,2251012,52,"100,000,000+","Free",0,"Everyone","Racing","May 3, 2018","4.17.2","4.0 and up",1,0,1
"1300","The Fish Master!","GAME",4.1,15763,54,"1,000,000+","Free",0,"Everyone","Arcade","July 17, 2018","1.6","4.1 and up",NA,NA,NA
"1301","Color Road","GAME",4.1,84911,71,"10,000,000+","Free",0,"Everyone","Arcade","July 19, 2018","2.5.0","4.1 and up",14,1,22
"1302","Draw In","GAME",4.2,46416,73,"10,000,000+","Free",0,"Everyone","Arcade","July 23, 2018","1.0.8","4.1 and up",0,0,1
"1303","Block Craft 3D: Building Simulator Games For Free","GAME",4.5,946926,57,"50,000,000+","Free",0,"Everyone","Simulation","March 5, 2018","2.10.2","4.0.3 and up",NA,NA,NA
"1304","PLANK!","GAME",4.7,7196,38,"500,000+","Free",0,"Everyone","Arcade","July 17, 2018","1.0.2","4.3 and up",NA,NA,NA
"1305","Looper!","GAME",4.6,48256,62,"1,000,000+","Free",0,"Everyone","Puzzle","July 20, 2018","1.2.0","4.1 and up",NA,NA,NA
"1306","Trivia Crack","GAME",4.5,6427773,95,"100,000,000+","Free",0,"Everyone","Trivia","August 3, 2018","2.79.0","4.1 and up",NA,NA,NA
"1307","Will it Crush?","GAME",3.1,25825,16,"5,000,000+","Free",0,"Everyone","Simulation","May 22, 2018","1.3.3","4.4 and up",NA,NA,NA
"1308","Tomb of the Mask","GAME",4.1,55380,39,"5,000,000+","Free",0,"Everyone","Action","July 24, 2018","1.2.1","5.0 and up",NA,NA,NA
"1309","Baseball Boy!","GAME",3.4,148177,78,"10,000,000+","Free",0,"Everyone","Arcade","July 27, 2018","1.7.2","4.1 and up",20,0,20
"1310","PUBG MOBILE","GAME",4.4,3715656,36,"50,000,000+","Free",0,"Teen","Action","July 24, 2018","0.7.0","4.3 and up",NA,NA,NA
"1311","Hello Stars","GAME",4.6,101686,31,"10,000,000+","Free",0,"Everyone","Puzzle","August 4, 2018","1.8.2","4.1 and up",40,11,16
"1312","Tank Stars","GAME",4.3,174755,98,"10,000,000+","Free",0,"Everyone 10+","Arcade","July 11, 2018","1.1.1","5.0 and up",NA,NA,NA
"1313","Castle Clash: Heroes of the Empire US","GAME",4.6,4578476,24,"50,000,000+","Free",0,"Everyone 10+","Strategy","July 17, 2018","1.4.51","4.1 and up",NA,NA,NA
"1314","Hole.io","GAME",4.2,145353,85,"10,000,000+","Free",0,"Teen","Arcade","July 24, 2018","1.3.1","4.1 and up",NA,NA,NA
"1315","Helix Jump","GAME",4.2,1499373,33,"100,000,000+","Free",0,"Everyone","Action","April 9, 2018","1.0.6","4.1 and up",209,6,58
"1316","Mini Golf King - Multiplayer Game","GAME",4.5,531458,100,"5,000,000+","Free",0,"Everyone","Sports","July 20, 2018","3.04.1","4.0.3 and up",NA,NA,NA
"1317","PUBG MOBILE","GAME",4.4,3714270,36,"50,000,000+","Free",0,"Teen","Action","July 24, 2018","0.7.0","4.3 and up",NA,NA,NA
"1318","Flip the Gun - Simulator Game","GAME",4.2,195558,86,"10,000,000+","Free",0,"Everyone","Arcade","July 26, 2018","1.2","5.0 and up",14,0,12
"1319","Mad Skills BMX 2","GAME",4.5,29940,80,"1,000,000+","Free",0,"Everyone","Action","July 26, 2018","1.1.4","4.1 and up",NA,NA,NA
"1320","Wordscapes","GAME",4.8,230727,87,"10,000,000+","Free",0,"Everyone","Word","August 2, 2018","1.0.47","4.1 and up",NA,NA,NA
"1321","MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing","GAME",4.4,41975,79,"1,000,000+","Free",0,"Everyone","Racing","July 19, 2018","3.00.11034","5.0 and up",NA,NA,NA
"1322","Word Link","GAME",4.6,216675,30,"10,000,000+","Free",0,"Everyone","Word","August 1, 2018","2.2.7","4.1 and up",NA,NA,NA
"1323","Last Day on Earth: Survival","GAME",4.5,2311785,87,"10,000,000+","Free",0,"Teen","Action","August 1, 2018","1.9.3","4.1 and up",NA,NA,NA
"1324","MARVEL Strike Force","GAME",4.3,165888,91,"5,000,000+","Free",0,"Teen","Role Playing","July 31, 2018","1.4.0","4.4 and up",NA,NA,NA
"1325","Partymasters - Fun Idle Game","GAME",4.6,541144,63,"10,000,000+","Free",0,"Teen","Arcade","July 12, 2018","1.2.5","5.0 and up",NA,NA,NA
"1326","Grim Soul: Dark Fantasy Survival","GAME",4.5,189773,95,"5,000,000+","Free",0,"Teen","Role Playing","July 18, 2018","1.1.1","4.1 and up",22,1,13
"1327","DRAGON BALL LEGENDS","GAME",4.6,337752,48,"5,000,000+","Free",0,"Teen","Action","August 3, 2018","1.11.0","6.0 and up",127,1,39
"1328","New YAHTZEE® With Buddies Dice Game","GAME",4.1,42079,93,"5,000,000+","Free",0,"Everyone","Board","July 5, 2018","5.6.5","4.1 and up",NA,NA,NA
"1329","Word Crossy - A crossword game","GAME",4.5,240416,53,"5,000,000+","Free",0,"Everyone","Word","August 1, 2018","2.2.3","4.0.3 and up",NA,NA,NA
"1330","MLB TAP SPORTS BASEBALL 2018","GAME",4.6,32506,82,"1,000,000+","Free",0,"Everyone","Sports","June 27, 2018","1.2.1","4.2 and up",NA,NA,NA
"1331","Hero Hunters","GAME",4.4,70747,99,"5,000,000+","Free",0,"Teen","Action","July 31, 2018","1.7","4.4 and up",16,2,12
"1332","Cooking Madness - A Chef's Restaurant Games","GAME",4.7,358817,49,"10,000,000+","Free",0,"Everyone","Arcade","July 30, 2018","1.2.2","4.1 and up",20,0,17
"1333","Ice Crush 2018 - A new Puzzle Matching Adventure","GAME",4.6,15403,25,"1,000,000+","Free",0,"Everyone","Casual","August 2, 2018","1.8.1","4.1 and up",NA,NA,NA
"1334","Merge Dragons!","GAME",4.5,214777,91,"5,000,000+","Free",0,"Everyone","Puzzle","July 30, 2018","3.6.0","4.1 and up",NA,NA,NA
"1335","SHADOWGUN LEGENDS","GAME",4.6,100609,52,"1,000,000+","Free",0,"Teen","Action","July 16, 2018","0.5.4","6.0 and up",NA,NA,NA
"1336","RULES OF SURVIVAL","GAME",4.2,1343866,56,"10,000,000+","Free",0,"Teen","Action","August 1, 2018","1.180271.184729","4.0 and up",NA,NA,NA
"1337","Mafia City","GAME",4.5,168717,56,"10,000,000+","Free",0,"Mature 17+","Strategy","August 3, 2018","1.3.205","2.3 and up",NA,NA,NA
"1338","Cash, Inc. Money Clicker Game & Business Adventure","GAME",4.8,549720,85,"10,000,000+","Free",0,"Everyone","Simulation","July 19, 2018","2.1.1.4.0","4.4 and up",NA,NA,NA
"1339","Dino War: Rise of Beasts","GAME",4.1,18996,81,"1,000,000+","Free",0,"Teen","Strategy","August 1, 2018","1.5.2","4.1 and up",16,5,6
"1340","Tokyo Ghoul: Dark War","GAME",4.3,25094,82,"1,000,000+","Free",0,"Teen","Role Playing","July 6, 2018","1.2.0","4.3 and up",NA,NA,NA
"1341","Last Shelter: Survival","GAME",4.4,93033,98,"5,000,000+","Free",0,"Teen","Strategy","August 4, 2018","1.250.078","4.0.3 and up",NA,NA,NA
"1342","Guns of Glory","GAME",4,120592,77,"10,000,000+","Free",0,"Everyone 10+","Strategy","July 31, 2018","2.0.2","4.0.3 and up",14,3,23
"1343","Lineage 2: Revolution","GAME",4.2,187972,99,"5,000,000+","Free",0,"Teen","Role Playing","July 11, 2018","1.05.20","4.4 and up",NA,NA,NA
"1344","Girls' Frontline","GAME",4.2,2055,96,"100,000+","Free",0,"Teen","Strategy","May 18, 2018","2.0081_206","4.0.3 and up",NA,NA,NA
"1345","Chapters: Interactive Stories","GAME",4.5,73539,96,"1,000,000+","Free",0,"Mature 17+","Role Playing","August 2, 2018","1.3.3","4.3 and up",30,1,7
"1346","Honkai Impact 3rd","GAME",4.7,59017,82,"1,000,000+","Free",0,"Teen","Action","July 3, 2018","2.2.1","4.3 and up",54,0,22
"1347","Master of Eternity(MOE)","GAME",4.2,5829,70,"100,000+","Free",0,"Teen","Strategy","July 26, 2018","1.8.2","4.4 and up",NA,NA,NA
"1348","The Game of Life","GAME",4.4,18621,63,"100,000+","Paid",2.99,"Everyone","Board","July 4, 2018","2.1.2","4.4 and up",NA,NA,NA
"1349","Clue","GAME",4.6,19922,35,"100,000+","Paid",1.99,"Everyone 10+","Board","July 30, 2018","2.2.5","5.0 and up",NA,NA,NA
"1350","The Room: Old Sins","GAME",4.9,21119,48,"100,000+","Paid",4.99,"Everyone","Puzzle","April 18, 2018","1.0.1","4.4 and up",NA,NA,NA
"1351","The Escapists","GAME",4.4,7412,84,"100,000+","Paid",4.99,"Teen","Strategy","April 26, 2018","1.1.0","2.3 and up",NA,NA,NA
"1352","Farming Simulator 18","GAME",4.5,18125,15,"100,000+","Paid",4.99,"Everyone","Simulation;Education","July 9, 2018","Varies with device","4.4 and up",24,2,13
"1353","RollerCoaster Tycoon® Classic","GAME",4.6,10795,69,"100,000+","Paid",5.99,"Everyone","Simulation","December 21, 2017","1.2.1.1712080","4.0.3 and up",NA,NA,NA
"1354","Call of Duty:Black Ops Zombies","GAME",4.2,13004,46,"100,000+","Paid",6.99,"Teen","Action","December 20, 2016","1.0.11","2.3.3 and up",0,0,3
"1355","Star Wars ™: DIRTY","GAME",4.5,38207,15,"100,000+","Paid",9.99,"Teen","Role Playing","October 19, 2015","1.0.6","4.1 and up",NA,NA,NA
"1356","Monument Valley 2","GAME",4.6,9394,33,"100,000+","Paid",4.99,"Everyone","Puzzle","November 30, 2017","1.2.9","4.4 and up",NA,NA,NA
"1357","DRAGON BALL LEGENDS","GAME",4.6,337913,48,"5,000,000+","Free",0,"Teen","Action","August 3, 2018","1.11.0","6.0 and up",127,1,39
"1358","ROBLOX","GAME",4.5,4449882,67,"100,000,000+","Free",0,"Everyone 10+","Adventure;Action & Adventure","July 31, 2018","2.347.225742","4.1 and up",NA,NA,NA
"1359","Candy Crush Saga","GAME",4.4,22429716,74,"500,000,000+","Free",0,"Everyone","Casual","July 5, 2018","1.129.0.2","4.1 and up",102,12,126
"1360","Angry Birds 2","GAME",4.6,3883589,57,"100,000,000+","Free",0,"Everyone","Casual","July 26, 2018","2.21.1","4.1 and up",16,0,13
"1361","8 Ball Pool","GAME",4.5,14200550,52,"100,000,000+","Free",0,"Everyone","Sports","July 31, 2018","4.0.0","4.0.3 and up",104,9,106
"1362","Fallout Shelter","GAME",4.6,2719142,25,"10,000,000+","Free",0,"Teen","Simulation","June 11, 2018","1.13.12","4.1 and up",27,1,4
"1363","PUBG MOBILE","GAME",4.4,3716278,36,"50,000,000+","Free",0,"Teen","Action","July 24, 2018","0.7.0","4.3 and up",NA,NA,NA
"1364","The Sims™ FreePlay","GAME",4.3,931595,31,"10,000,000+","Free",0,"Teen","Simulation","July 16, 2018","5.39.1","4.0.3 and up",NA,NA,NA
"1365","MARVEL Strike Force","GAME",4.3,165928,91,"5,000,000+","Free",0,"Teen","Role Playing","July 31, 2018","1.4.0","4.4 and up",NA,NA,NA
"1366","MARVEL Contest of Champions","GAME",4.3,2468063,92,"50,000,000+","Free",0,"Teen","Action","July 30, 2018","19.1.0","4.0.3 and up",NA,NA,NA
"1367","Jurassic World™ Alive","GAME",4.3,309176,70,"5,000,000+","Free",0,"Everyone 10+","Simulation","August 2, 2018","1.3.15","4.4 and up",NA,NA,NA
"1368","Choices: Stories You Play","GAME",4.6,807338,93,"10,000,000+","Free",0,"Teen","Simulation","July 30, 2018","2.3.5","4.0.3 and up",21,0,18
"1369","Solitaire TriPeaks","GAME",4.5,446434,52,"10,000,000+","Free",0,"Everyone","Card","August 1, 2018","4.6.2.46103","4.0.3 and up",NA,NA,NA
"1370","Merge Dragons!","GAME",4.5,214819,91,"5,000,000+","Free",0,"Everyone","Puzzle","July 30, 2018","3.6.0","4.1 and up",NA,NA,NA
"1371","The Walking Dead: Road to Survival","GAME",4.2,522466,37,"10,000,000+","Free",0,"Mature 17+","Role Playing","June 19, 2018","12.0.4.62276","4.0.3 and up",NA,NA,NA
"1372","Hustle Castle: Fantasy Kingdom","GAME",4.7,584126,64,"10,000,000+","Free",0,"Everyone 10+","Role Playing","July 27, 2018","1.5.4","4.1 and up",NA,NA,NA
"1373","Might & Magic: Elemental Guardians","GAME",4.3,32551,35,"500,000+","Free",0,"Mature 17+","Role Playing","July 12, 2018","1.93","4.4 and up",NA,NA,NA
"1374","Game of Thrones: Conquest™","GAME",4,90218,97,"1,000,000+","Free",0,"Teen","Strategy","August 3, 2018","1.8.225278","6.0 and up",NA,NA,NA
"1375","Love Nikki-Dress UP Queen","GAME",4.4,212524,93,"5,000,000+","Free",0,"Everyone","Role Playing","July 24, 2018","3.0.0","4.0.3 and up",NA,NA,NA
"1376","Summoners War","GAME",4.3,2045554,28,"50,000,000+","Free",0,"Teen","Role Playing","July 30, 2018","4.0.1","4.0.3 and up",NA,NA,NA
"1377","FINAL FANTASY BRAVE EXVIUS","GAME",4.6,745684,83,"5,000,000+","Free",0,"Teen","Role Playing","July 17, 2018","3.0.2","4.0.3 and up",27,0,11
"1378","Idle Heroes","GAME",4.7,416540,99,"10,000,000+","Free",0,"Everyone 10+","Role Playing","May 30, 2018","1.14.0","2.3 and up",NA,NA,NA
"1379","Fate/Grand Order (English)","GAME",4.4,16601,55,"500,000+","Free",0,"Teen","Role Playing","July 26, 2018","1.18.0","4.0 and up",11,0,9
"1380","Honkai Impact 3rd","GAME",4.7,59017,82,"1,000,000+","Free",0,"Teen","Action","July 3, 2018","2.2.1","4.3 and up",54,0,22
"1381","Lords Mobile: Battle of the Empires - Strategy RPG","GAME",4.4,3057481,14,"50,000,000+","Free",0,"Teen","Strategy","July 26, 2018","1.76","2.3 and up",NA,NA,NA
"1382","War and Order","GAME",4.3,224514,81,"5,000,000+","Free",0,"Teen","Strategy","July 18, 2018","1.1.8","4.0.3 and up",NA,NA,NA
"1383","Candy Crush Saga","GAME",4.4,22430188,74,"500,000,000+","Free",0,"Everyone","Casual","July 5, 2018","1.129.0.2","4.1 and up",102,12,126
"1384","ROBLOX","GAME",4.5,4449910,67,"100,000,000+","Free",0,"Everyone 10+","Adventure;Action & Adventure","July 31, 2018","2.347.225742","4.1 and up",NA,NA,NA
"1385","8 Ball Pool","GAME",4.5,14201891,52,"100,000,000+","Free",0,"Everyone","Sports","July 31, 2018","4.0.0","4.0.3 and up",104,9,106
"1386","Subway Surfers","GAME",4.5,27725352,76,"1,000,000,000+","Free",0,"Everyone 10+","Arcade","July 12, 2018","1.90.0","4.1 and up",NA,NA,NA
"1387","Candy Crush Soda Saga","GAME",4.4,6199095,67,"100,000,000+","Free",0,"Everyone","Casual","July 10, 2018","1.118.4","4.1 and up",62,8,96
"1388","Zombie Hunter King","GAME",4.3,10493,50,"1,000,000+","Free",0,"Mature 17+","Action","August 1, 2018","1.0.8","2.3 and up",NA,NA,NA
